Source region,Target region,Count
HKG,Abkhazia,0
HKG,Afghanistan,0
HKG,Albania,0
HKG,Algeria,0
HKG,American Samoa,0
HKG,Andorra,0
HKG,Angola,0
HKG,Anguilla,0
HKG,Antigua and Barbuda,0
HKG,Argentina,0
HKG,Armenia,0
HKG,Aruba,0
HKG,Australia,14980
HKG,Austria,490
HKG,Azerbaijan,0
HKG,Bahamas,0
HKG,Bahrain,0
HKG,Bangladesh,0
HKG,Barbados,0
HKG,Belarus,0
HKG,Belgium,550
HKG,Belize,0
HKG,Benin,0
HKG,Bermuda,0
HKG,Bhutan,0
HKG,Bolivia,0
HKG,Bosnia and Herzegovina,0
HKG,Botswana,0
HKG,Brazil,650
HKG,British Virgin Islands,0
HKG,Brunei,0
HKG,Bulgaria,0
HKG,Burkina Faso,0
HKG,Burundi,0
HKG,Cambodia,0
HKG,Cameroon,0
HKG,Canada,36160
HKG,Cape Verde,0
HKG,Cayman Islands,0
HKG,Central African Republic,0
HKG,Chad,0
HKG,Chile,0
HKG,Mainland China,34450
HKG,Christmas Island,0
HKG,Colombia,0
HKG,Comoros,0
HKG,Cook Islands,0
HKG,Costa Rica,0
HKG,Cote d'Ivoire,0
HKG,Croatia,0
HKG,Cuba,0
HKG,Curacao,0
HKG,Cyprus,0
HKG,Denmark,2470
HKG,Djibouti,0
HKG,Dominica,0
HKG,Dominican Republic,0
HKG,Ecuador,0
HKG,Egypt,0
HKG,El Salvador,0
HKG,Equatorial Guinea,0
HKG,Eritrea,0
HKG,Estonia,0
HKG,Eswatini,0
HKG,Ethiopia,0
HKG,Falkland Islands,0
HKG,Faroe Islands,0
HKG,Fiji,0
HKG,Finland,770
HKG,France,12980
HKG,French Polynesia,0
HKG,Gabon,0
HKG,Gambia,0
HKG,Georgia,0
HKG,Germany,10390
HKG,Ghana,0
HKG,Gibraltar,0
HKG,Greece,350
HKG,Greenland,0
HKG,Grenada,0
HKG,Guam,0
HKG,Guatemala,0
HKG,Guernsey,0
HKG,Guinea,0
HKG,Guinea-Bissau,0
HKG,Guyana,0
HKG,Haiti,0
HKG,Honduras,0
HKG,Hungary,0
HKG,Iceland,0
HKG,India,1900
HKG,Indonesia,430
HKG,Iraq,0
HKG,Ireland,500
HKG,Isle of Man,0
HKG,Israel,0
HKG,Italy,4040
HKG,Jamaica,0
HKG,Japan,7020
HKG,Jersey,0
HKG,Jordan,0
HKG,Kazakhstan,0
HKG,Kenya,0
HKG,Kiribati,0
HKG,Kosovo,0
HKG,Kuwait,0
HKG,Kyrgyzstan,0
HKG,Laos,0
HKG,Latvia,0
HKG,Lebanon,0
HKG,Lesotho,0
HKG,Liberia,0
HKG,Libya,0
HKG,Liechtenstein,0
HKG,Lithuania,0
HKG,Luxembourg,0
HKG,Macau,1280
HKG,Madagascar,0
HKG,Malawi,0
HKG,Malaysia,1140
HKG,Maldives,0
HKG,Mali,0
HKG,Malta,0
HKG,Marshall Islands,0
HKG,Mauritania,0
HKG,Mauritius,0
HKG,Mexico,1510
HKG,Micronesia,0
HKG,Moldova,0
HKG,Monaco,0
HKG,Mongolia,0
HKG,Montenegro,0
HKG,Montserrat,0
HKG,Morocco,0
HKG,Mozambique,0
HKG,Myanmar,0
HKG,Namibia,0
HKG,Nauru,0
HKG,Nepal,0
HKG,Netherlands,5620
HKG,New Caledonia,0
HKG,New Zealand,900
HKG,Nicaragua,0
HKG,Niger,0
HKG,Nigeria,0
HKG,Niue,0
HKG,Norfolk Island,0
HKG,North Korea,0
HKG,North Macedonia,0
HKG,Northern Mariana Islands,0
HKG,Norway,410
HKG,Oman,0
HKG,Pakistan,0
HKG,Palau,0
HKG,Palestine,0
HKG,Panama,0
HKG,Papua New Guinea,0
HKG,Paraguay,0
HKG,Peru,0
HKG,Philippines,900
HKG,Pitcairn Islands,0
HKG,Poland,700
HKG,Portugal,720
HKG,Puerto Rico,0
HKG,Qatar,0
HKG,Romania,0
HKG,Rwanda,0
HKG,Saint Barthelemy,0
HKG,Saint Helena,0
HKG,Saint Kitts and Nevis,0
HKG,Saint Lucia,0
HKG,Saint Martin,0
HKG,Saint Pierre and Miquelon,0
HKG,Saint Vincent and the Grenadines,0
HKG,Samoa,0
HKG,San Marino,0
HKG,Sao Tome and Principe,0
HKG,Saudi Arabia,0
HKG,Senegal,0
HKG,Serbia,0
HKG,Seychelles,0
HKG,Sierra Leone,0
HKG,Singapore,16320
HKG,Sint Maarten,0
HKG,Slovakia,0
HKG,Slovenia,0
HKG,Solomon Islands,0
HKG,Somalia,0
HKG,South Africa,0
HKG,South Korea,4860
HKG,South Sudan,0
HKG,Spain,4460
HKG,Sri Lanka,0
HKG,Sudan,0
HKG,Suriname,0
HKG,Svalbard,0
HKG,Sweden,3810
HKG,Switzerland,3170
HKG,Syria,0
HKG,Taiwan Region,5960
HKG,Tajikistan,0
HKG,Tanzania,0
HKG,Thailand,1300
HKG,Timor-Leste,0
HKG,Togo,0
HKG,Tokelau,0
HKG,Tonga,0
HKG,Trinidad and Tobago,0
HKG,Tunisia,0
HKG,Turkey,0
HKG,Turkmenistan,0
